ra,dec
266.77032,67.08004805
266.77282,67.08176851
266.77532,67.08348897
266.77782,67.08520943
266.78032,67.08692989
266.78282,67.0889825
266.78532,67.09105783
266.78782,67.09313316
266.79032,67.09520848
266.79282,67.09728381
266.79532,67.09935913
266.79782,67.10146246
266.80032,67.10359565
266.80282,67.10572883
266.80532,67.10786202
266.80782,67.1099952
266.81032,67.11212839
266.81282,67.11426157
266.81532,67.11639476
266.81782,67.11852794
266.82032,67.12066113
266.82282,67.12299718
266.82532,67.12547538
266.82782,67.12795358
266.83032,67.13043177
266.83282,67.13290997
266.83532,67.13538817
266.83782,67.13786637
266.84032,67.13999789
266.84282,67.14198643
266.84532,67.14397497
266.84782,67.14596351
266.85032,67.14795206
266.85282,67.1499406
266.85532,67.15192914
266.85782,67.15391768
266.86032,67.15590622
266.86282,67.15789477
266.86532,67.15988331
266.86782,67.16187185
266.87032,67.16365391
266.87282,67.16533148
266.87532,67.16700906
266.87782,67.16868663
266.88032,67.17036421
266.88282,67.17204178
266.88532,67.17371936
266.88782,67.17539693
266.89032,67.17707451
266.89282,67.17875208
266.89532,67.18042966
266.89782,67.18211368
266.90032,67.18391525
266.90282,67.18571681
266.90532,67.18751837
266.90782,67.18931994
266.91032,67.1911215
266.91282,67.19292306
266.91532,67.19472463
266.91782,67.19652619
266.92032,67.19832776
266.92282,67.19985597
266.92532,67.20119267
266.92782,67.20252936
266.93032,67.20386605
266.93282,67.20520274
266.93532,67.20653943
266.93782,67.20787612
266.94032,67.20921281
266.94282,67.2105495
266.94532,67.2118862
266.94782,67.21329247
266.95032,67.21489276
266.95282,67.21649304
266.95532,67.21809332
266.95782,67.21969361
266.96032,67.22129389
266.96282,67.22289417
266.96532,67.22449446
266.96782,67.22609474
266.97032,67.22769502
266.97282,67.22918595
266.97532,67.23049229
266.97782,67.23179862
266.98032,67.23310495
266.98282,67.23441128
266.98532,67.23571761
266.98782,67.23702394
266.99032,67.23833027
266.99282,67.2396366
266.99532,67.24094293
266.99782,67.24224926
267.00032,67.24360055
267.00282,67.245146
267.00532,67.24669145
267.00782,67.24823691
267.01032,67.24978236
267.01282,67.25132782
267.01532,67.25287327
267.01782,67.25441873
267.02032,67.25596418
267.02282,67.25750964
267.02532,67.25872218
267.02782,67.25981034
267.03032,67.26089851
267.03282,67.26198667
267.03532,67.26307483
267.03782,67.26416299
267.04032,67.26525115
267.04282,67.26633931
267.04532,67.26742747
267.04782,67.26851564
267.05032,67.2696038
267.05282,67.27077655
267.05532,67.27202021
267.05782,67.27326387
267.06032,67.27450753
267.06282,67.27575119
267.06532,67.27699485
267.06782,67.27823851
267.07032,67.27948217
267.07282,67.28072583
267.07532,67.2819424
267.07782,67.28284744
267.08032,67.28375248
267.08282,67.28465752
267.08532,67.28556256
267.08782,67.2864676
267.09032,67.28737264
267.09282,67.28827767
267.09532,67.28918271
